GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
2911,SIP/193.253.115.65/933429110 ,DIM,SIMBOX,ORANGE,GOIP4,192.168.0.12,1,
2912,SIP/193.253.115.65/933429120 ,DIM,SIMBOX,ORANGE,GOIP4,192.168.0.12,2,
2913,SIP/193.253.115.65/933429130 ,DIM,SIMBOX,ORANGE,GOIP4,192.168.0.12,3,
2914,SIP/193.253.115.65/933429140 ,DIM,SIMBOX,ORANGE,GOIP4,192.168.0.12,4,
3031,SIP/41.204.96.174/933430310 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,1,
3032,SIP/41.204.96.174/933430320 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,2,
3033,SIP/41.204.96.174/933430330 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,3,
3034,SIP/41.204.96.174/933430340 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,4,
3035,SIP/41.204.96.174/933430350 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,5,
3036,SIP/41.204.96.174/933430360 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,6,
3037,SIP/41.204.96.174/933430370 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,7,
3038,SIP/41.204.96.174/933430380 ,FRED,SIMBOX,AIRTEL,GOIP10,s2-192.168.0.102,8,
3041,SIP/41.204.96.174/933430410 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,1,
3042,SIP/41.204.96.174/933430420 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,2,
3043,SIP/41.204.96.174/933430430 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,3,
3044,SIP/41.204.96.174/933430440 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,4,
3045,SIP/41.204.96.174/933430450 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,5,
3046,SIP/41.204.96.174/933430460 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,6,
3047,SIP/41.204.96.174/933430470 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,7,
3048,SIP/41.204.96.174/933430480 ,FRED,SIMBOX,AIRTEL,GOIP60,192.168.0.103,8,
5261,SIP/41.204.105.85/933452610 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,1,
5262,SIP/41.204.105.85/933452620 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,2,
5263,SIP/41.204.105.85/933452630 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,3,
5264,SIP/41.204.105.85/933452640 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,4,
5265,SIP/41.204.105.85/933452650 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,5,
5266,SIP/41.204.105.85/933452660 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,6,
5267,SIP/41.204.105.85/933452670 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,7,
5268,SIP/41.204.105.85/933452680 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.106,8,
5251,SIP/41.204.105.85/933442510 ,FRED,SIMBOX,TELMA S&W,GOIP14,192.168.0.103,1,
5252,SIP/41.204.105.85/933452520 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,2,
5253,SIP/41.204.105.85/933452530 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,3,
5254,SIP/41.204.105.85/933452540 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,4,
5255,SIP/41.204.105.85/933452550 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,5,
5256,SIP/41.204.105.85/933452560 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,6,
5257,SIP/41.204.105.85/933452570 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,7,
5258,SIP/41.204.105.85/933452580 ,FRED,SIMBOX,TELMA S&W,GOIP11,192.168.0.103,8,
